GAME,RATIO,GAMERS,COMP %,AVERAGE TIME (h),RATING,ADDED,True_Achievement,Game_Score
Unpacking,1.44,81.045,39.7,1.5,3.5,2021-10-14,1437,1000
For Honor,3.07,162.636,0.5,90.0,3.5,2021-06-03,3651,1190
art of rally,3.6,61.023,2.1,22.5,3.5,2021-08-03,3599,1000
Totally Accurate Battle Simulator,3.43,21.802,4.4,9.0,3.5,2021-10-05,3427,1000
Killer Instinct Classic,2.17,8.06,9.0,17.5,3.5,2019-12-18,2168,1000
Lonely Mountains: Downhill,7.52,71.144,0.2,27.5,3.5,2019-12-16,11131,1480
Payday 2: Crimewave Edition,5.84,171.678,0.1,175.0,3.4,2022-02-09,14662,2510
Cris Tales,4.88,14.166,1.2,32.5,3.4,2021-07-19,4876,1000
EA SPORTS UFC 4,2.81,66.145,0.5,17.5,3.4,2021-07-08,2812,1000
Going Under,3.74,20.517,0.7,13.5,3.4,2021-06-29,3923,1050
Marvel's Avengers,2.67,137.585,1.3,110.0,3.4,2021-09-30,2675,1000
Pikuniku,1.74,26.753,12.2,4.5,3.4,2020-03-12,1743,1000
7 Days to Die,4.21,79.392,0.3,175.0,3.4,2022-04-26,4214,1000
The Sims 4,2.44,86.219,8.9,2.5,3.4,2020-11-09,2437,1000
Need for Speed,4.57,141.952,0.1,22.5,3.4,2020-11-09,10060,2200
Zoo Tycoon: Ultimate Animal Collection,6.92,82.969,0.5,90.0,3.4,2019-12-16,10381,1500
Golf With Your Friends,3.41,160.235,1.1,11.0,3.4,2020-05-19,3874,1135
Neon Abyss,7.79,53.076,0.2,55.0,3.4,2020-07-14,7788,1000
Before We Leave,12.53,13.726,0.2,70.0,3.4,2021-11-23,12528,1000
Black Desert,3.71,62.581,0.9,625.0,3.4,2020-09-10,3706,1000
Raji: An Ancient Epic,2.25,25.032,9.0,5.5,3.4,2021-07-22,2250,1000
Backbone,2.71,7.293,3.6,9.0,3.4,2021-10-28,2707,1000
Army of TWO,2.35,113.638,1.1,32.5,3.4,2020-11-09,2941,1250
Just Cause 4,3.68,122.768,0.7,55.0,3.4,2021-05-12,9196,2500
Kill It With Fire,2.23,46.897,14.0,4.5,3.4,2021-11-04,2225,1000
Shredders,3.11,10.753,2.7,9.0,3.4,2022-03-17,3111,1000
Trailmakers,3.06,17.806,3.3,13.5,3.4,2020-08-06,3674,1200
The Bard's Tale Trilogy,5.64,10.78,1.7,70.0,3.4,2019-12-16,5638,1000
The Procession to Calvary,1.29,23.853,52.4,1.5,3.4,2021-10-07,1288,1000
Disneyland Adventures,3.9,93.22,2.3,45.0,3.4,2019-12-16,3904,1000
Lumines Remastered,9.76,21.973,0.3,17.5,3.3,2021-08-05,9765,1000
Empire of Sin,5.99,27.123,0.1,70.0,3.3,2021-03-18,7186,1200
